tps
8.26
144.96
144.13
138.59
144.52
143.77
140.15
145.02
142.48
142.13
146.58
144.54
142.44
144.04
143.43
144.17
147.25
141.58
144.87
136.08
142.51
143.27
145.63
141.26
142.59
148.8
148.01
144.53
144.14
144.5
144.54
137.83
142.8
120.9
125.5
139.45
144.84
135.94
135.84
143.97
144.21
146.8
144.92
144.09
143.84
141.16
142.89
139.11
143.76
147.93
143.12
144.04
133.79
147.51
142.82
144.16
145.8
141.26
142.3
145.45
142.32
140.73
143.86
146.83
144.94
145.92
143.45
143.97
141.11
143.1
145.23
143.85
144.59
145.15
146.01
139.59
113.04
108.01
143.71
145.57
141.84
144.94
142.31
142.77
144.88
137.58
147.07
143.85
141.76
141.72
141.52
145.43
144.94
144.19
141.06
144.25
144.94
143.28
142.55
144.49
