tps
1.73
2.44
1.02
2.36
1.84
1.1
2.09
2.37
2.33
1.16
0.86
1.28
1.23
1.33
2.39
2.38
2.47
0.86
1.16
4.72
4.42
4.96
4.4
4.41
4.1
4.53
4.43
4.84
4.27
6.21
4.39
4.7
4.45
4.29
4.39
3.81
3.86
3.69
4.22
4.02
4.21
4.03
5.85
4.16
4.29
3.35
3.36
3.98
4.05
4.1
3.66
3.61
2.39
3.2
3.63
3.03
3.65
2.77
4.25
5.17
4.57
4.45
4.58
4.62
4.63
4.0
4.66
3.72
4.57
6.19
5.96
3.98
6.05
4.02
4.72
3.98
4.04
3.84
4.59
4.11
4.44
3.82
3.66
3.99
3.62
3.2
3.6
3.71
3.28
3.23
3.97
3.14
2.92
3.23
3.06
3.1
3.07
3.33
10.66
0.99
1.12
1.08
1.12
1.68
1.67
0.69
1.95
1.06
1.69
1.72
0.74
0.9
0.9
1.78
1.76
2.02
1.29
1.58
1.7
5.85
5.47
6.18
5.47
5.85
5.91
4.85
4.96
5.37
5.98
3.5
4.8
4.96
5.29
4.75
5.27
7.02
6.93
7.06
7.05
7.19
4.92
4.99
7.12
6.72
5.06
4.58
4.91
4.84
4.48
5.09
5.19
4.29
4.62
4.73
4.95
4.48
4.11
4.68
4.65
7.1
6.85
6.91
4.79
4.23
4.34
4.28
4.12
6.91
5.26
6.71
5.37
5.07
4.85
4.57
3.19
4.46
4.14
4.6
4.83
4.01
4.96
4.09
3.53
4.88
2.79
4.69
3.78
2.88
4.08
3.98
3.87
3.38
3.4
3.27
5.89
2.48
2.32
5.57
1.24
1.01
2.13
1.64
1.92
1.39
1.54
2.37
2.84
2.48
1.3
2.07
1.38
1.71
1.46
2.24
2.03
5.65
7.03
5.32
6.88
5.52
7.11
4.94
5.15
5.08
4.4
4.38
4.73
4.73
4.13
4.28
6.92
4.51
4.88
4.19
4.61
5.32
4.83
4.54
5.09
4.88
4.56
4.34
5.44
4.62
4.63
5.63
5.54
3.99
4.56
5.01
6.74
6.73
4.75
4.37
6.85
4.25
6.71
4.56
3.42
3.85
3.97
4.01
4.21
4.15
3.82
4.1
3.5
4.24
4.38
4.75
4.66
4.07
3.55
3.49
4.51
5.13
4.14
4.84
4.42
4.41
3.8
4.89
6.46
4.71
6.51
5.99
4.55
4.86
4.71
4.87
4.11
4.54
4.0
3.88
