tps
2.44
5.21
5.82
5.45
5.13
5.83
5.56
5.70
5.13
5.42
2.12
5.60
5.65
5.55
5.41
5.23
5.40
5.13
5.69
5.56
2.43
5.14
5.91
5.61
5.68
5.20
5.33
5.11
5.15
5.60
2.42
5.63
5.40
5.19
5.43
5.20
5.06
5.46
5.21
5.59
2.17
5.52
5.70
5.14
5.72
5.69
5.2
5.31
5.57
5.17
1.98
4.86
5.76
5.43
5.62
5.67
5.32
5.53
5.14
5.15
2.36
5.23
5.59
5.51
5.56
5.49
5.40
5.32
5.05
5.40
2.00
5.18
5.82
5.08
5.10
5.27
5.19
5.60
5.47
5.68
2.36
5.18
5.79
5.03
5.07
5.12
5.53
5.44
5.15
5.46
1.95
5.41
5.49
5.20
5.30
5.55
5.24
5.15
5.12
5.2
